tx_id,amount,merchant,country,timestamp,features_json,expected_reason,evidence_rule
TXN001,0.99,Netflix Test,US,2025-11-26T14:22:00Z,"{""card_age_days"": 1, ""is_new_card"": true, ""merchant_first"": true, ""velocity_1h"": 1}",Testing stolen card validity on low-value service,CARD_TESTING
TXN002,1.99,Spotify Verify,US,2025-11-26T14:24:00Z,"{""card_age_days"": 1, ""is_new_card"": true, ""merchant_first"": true, ""velocity_1h"": 2}",Continuation of card testing pattern with micro-transaction,CARD_TESTING
TXN003,2.99,Google Play Test,US,2025-11-26T14:26:00Z,"{""card_age_days"": 1, ""is_new_card"": true, ""merchant_first"": true, ""velocity_1h"": 3}",Third card test indicating organized testing ring,CARD_TESTING
TXN004,5250.00,Apple Store,US,2025-11-26T14:28:00Z,"{""card_age_days"": 1, ""is_new_card"": true, ""amount_zscore"": 8.5, ""velocity_1h"": 4}",Large purchase immediately after approved card test indicates fraud ring,HIGH_VELOCITY
TXN005,2450.00,Amazon Electronics,GB,2025-11-26T15:45:00Z,"{""location_change"": true, ""hours_since_us_tx"": 1.3, ""distance_km"": 5585, ""velocity_4h"": 8}",Impossible travel: UK transaction 1.3 hours after US transaction,GEO_IP_MISMATCH
TXN006,45.00,Starbucks,US,2025-11-26T08:30:00Z,"{""amount_zscore"": 3.2, ""merchant_category"": 5814, ""time_of_day_risky"": false}",Unusual high amount for coffee suggests account compromise or test,UNUSUAL_AMOUNT
TXN007,3500.00,Las Vegas Casino,US,2025-11-26T02:15:00Z,"{""is_night_time"": true, ""merchant_category"": 7995, ""amount_zscore"": 7.1, ""first_category"": true}",High-value gambling transaction at 2 AM in high-risk category,NIGHTTIME_ACTIVITY
TXN008,1200.00,Bitcoin Exchange,US,2025-11-26T03:30:00Z,"{""is_night_time"": true, ""merchant_category"": 6051, ""first_time"": true, ""amount_zscore"": 6.8}",Cryptocurrency purchase at unusual hour suggests unauthorized access,CRYPTO_PURCHASE
TXN009,750.00,Gift Card Store,US,2025-11-26T14:55:00Z,"{""merchant_category"": 5816, ""velocity_2h"": 3, ""first_category"": true, ""amount_large_for_category"": true}",Large gift card purchase without prior history; money conversion indicator,GIFT_CARD_FRAUD
TXN010,89.99,iTunes Store,US,2025-11-26T15:00:00Z,"{""merchant_category"": 5816, ""velocity_2h"": 4, ""amount_typical"": true}",Second digital goods purchase in short period; chaining pattern,GIFT_CARD_FRAUD
TXN011,99.99,Google Play Cards,US,2025-11-26T15:05:00Z,"{""merchant_category"": 5816, ""velocity_2h"": 5, ""same_category"": true}",Third prepaid card purchase; clear layering for money conversion,GIFT_CARD_FRAUD
TXN012,1500.00,Western Union,US,2025-11-26T15:30:00Z,"{""merchant_category"": 6211, ""velocity_1h"": 2, ""first_time"": true, ""high_risk_merchant"": true}",Money transfer service transaction after gift card purchases; money laundering,LAYERING_PATTERN
TXN013,899.00,Best Buy,CA,2025-11-26T16:20:00Z,"{""location_change"": true, ""hours_since_last"": 0.75, ""distance_km"": 2100, ""hours_possible"": 3}",Cross-border high-value electronics purchase; impossible timing,CROSS_BORDER_SPIKE
TXN014,650.00,iPhone 15 Return,US,2025-11-26T16:35:00Z,"{""merchant_category"": 5921, ""is_return"": true, ""time_since_purchase"": 0.25, ""frequent_refunds"": true}",Same-day return request for high-value item after purchase,REFUND_FRAUD
TXN015,2100.00,Dell Laptop,US,2025-11-26T09:00:00Z,"{""is_new_device"": true, ""device_different"": true, ""merchant_first"": true, ""billing_address_recent_change"": true}",High-value purchase from new device after billing address change,ACCOUNT_TAKEOVER
TXN016,1800.00,Walmart,MX,2025-11-26T10:15:00Z,"{""location_change"": true, ""hours_since_us"": 1.2, ""vpn_detected"": true, ""distance_km"": 3200}",International purchase through VPN; geo-mismatch indicator,ACCOUNT_TAKEOVER
TXN017,250.00,Decline Payment,US,2025-11-26T14:00:00Z,"{""declined_attempt"": true, ""decline_reason"": ""insufficient_funds""}",First declined transaction; testing card limits,DECLINE_APPROVAL_PATTERN
TXN018,249.99,Decline Payment,US,2025-11-26T14:02:00Z,"{""declined_attempt"": true, ""decline_reason"": ""fraud_check"", ""retry_amount"": -0.01}",Second attempt with slight amount variation,DECLINE_APPROVAL_PATTERN
TXN019,250.50,Approval,US,2025-11-26T14:05:00Z,"{""approved_after_declines"": true, ""total_attempts"": 3, ""time_window_minutes"": 5}",Approval on third attempt; classic decline-resubmit fraud pattern,DECLINE_APPROVAL_PATTERN
TXN020,45.00,Unknown Device Purchase,US,2025-11-26T11:30:00Z,"{""unknown_device"": true, ""device_previously_used"": false, ""os_different"": true, ""browser_new"": true}",Transaction from unregistered device; device compromise indicator,DEVICE_ANOMALY
TXN021,3200.00,Luxury Watch,US,2025-11-26T12:00:00Z,"{""amount_zscore"": 9.2, ""merchant_category"": 5944, ""category_change"": true, ""rare_category"": true}",First luxury purchase; 10x historical average; unusual category,UNUSUAL_AMOUNT
TXN022,180.00,Money Transfer,PH,2025-11-26T13:45:00Z,"{""merchant_category"": 6211, ""first_international"": true, ""high_risk_country"": true, ""destination_country"": ""PH""}",First international money transfer to high-risk country,CROSS_BORDER_SPIKE
TXN023,55.00,Online Pharmacy,US,2025-11-26T02:45:00Z,"{""is_night_time"": true, ""merchant_category"": 5912, ""suspicious_category"": true}",Night-time pharmacy purchase; medication resale indicator,NIGHTTIME_ACTIVITY
TXN024,320.00,Apple Pay Enrollment,US,2025-11-26T14:30:00Z,"{""mobile_wallet_new"": true, ""device_new"": true, ""immediate_transaction"": true}",Mobile wallet enrollment from new device; rapid payment setup,MOBILE_WALLET_FRAUD
TXN025,450.00,Apple Pay Transaction,US,2025-11-26T14:32:00Z,"{""mobile_wallet_enabled"": true, ""minutes_after_enrollment"": 2}",Immediate transaction using newly enrolled wallet,MOBILE_WALLET_FRAUD
TXN026,1050.00,Dormant Account Purchase,US,2025-11-26T15:00:00Z,"{""account_dormant_months"": 8, ""velocity_spike"": true, ""merchant_category_change"": true}",First transaction after 8 months; high-value unusual category,DORMANT_REACTIVATION
TXN027,299.99,Duplicate Refund Request,US,2025-11-26T16:45:00Z,"{""refund_attempts"": 2, ""time_since_purchase"": 18, ""chargeback_history"": 3}",Multiple refund attempts on same order; chargeback abuse pattern,REFUND_FRAUD
TXN028,1200.00,Amazon Business,NG,2025-11-26T17:30:00Z,"{""location_change"": true, ""high_risk_country"": true, ""vcc_used"": true, ""velocity_24h"": 15}",High-risk country transaction; velocity spike; VCC masking payment source,CROSS_BORDER_SPIKE
TXN029,380.00,Loyalty Points Redemption,US,2025-11-26T18:00:00Z,"{""unusual_points_redemption"": true, ""redemption_rate_high"": true, ""gift_card_redemption"": true}",Unusual loyalty points used for gift card; account compromise signal,LOYALTY_ABUSE
TXN030,150.00,Adult Content,US,2025-11-26T02:30:00Z,"{""merchant_category"": 6273, ""suspicious_category"": true, ""is_night_time"": true, ""first_time"": true}",First adult content purchase at unusual hour; behavioral anomaly,SUSPICIOUS_MERCHANT
TXN031,2250.00,Clinic Visit,NG,2025-11-26T19:15:00Z,"{""location_change"": true, ""high_risk_country"": true, ""telehealth_skip"": true, ""international_healthcare"": true}",International medical tourism transaction; unusual spending pattern,CROSS_BORDER_SPIKE
TXN032,890.00,Cryptocurrency Service,US,2025-11-26T20:00:00Z,"{""crypto_adjacent"": true, ""first_time"": true, ""velocity_24h"": 18}",Crypto service transaction; combined with other velocity indicates ATO,HIGH_VELOCITY
TXN033,2500.00,Zoom Corporate,US,2025-11-26T12:30:00Z,"{""business_category_new"": true, ""amount_zscore"": 6.5, ""category_shift"": true}",First business software purchase; unusual amount; category change,ACCOUNT_TAKEOVER
